,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
0,1502668800000,4261.48000000,4485.39000000,3850.00000000,4086.29000000,2843.43142600,1503273599999,12021576.48265154,13134,2240.24924000,9482742.92094674
1,1503273600000,4069.13000000,4453.91000000,3400.00000000,4310.01000000,4599.39662900,1503878399999,18978983.50987317,37826,1755.53026500,7173180.19744751
2,1503878400000,4310.01000000,4939.19000000,4124.54000000,4509.08000000,4753.84337600,1504483199999,21581679.92866748,35717,1371.03442800,6237542.20612072
3,1504483200000,4505.00000000,4788.59000000,3603.00000000,4130.37000000,6382.78774500,1505087999999,27307824.36893929,42372,2821.42273900,12120979.77068529
4,1505088000000,4153.62000000,4394.59000000,2817.00000000,3699.99000000,8106.70512700,1505692799999,30026796.42861788,50423,3763.12845200,13956149.18844029
5,1505692800000,3690.00000000,4123.20000000,3505.55000000,3660.02000000,5908.32335000,1506297599999,22501242.65454204,56785,2821.43888700,10711864.12380805
6,1506297600000,3660.02000000,4406.52000000,3653.69000000,4378.48000000,5782.30542400,1506902399999,23750419.76839855,71484,2482.36136700,10200163.49185349
7,1506902400000,4400.00000000,4658.00000000,4110.00000000,4640.00000000,4708.27295600,1507507199999,20366578.25125568,59658,2077.80349000,9008752.49455302
8,1507507200000,4640.00000000,5922.30000000,4550.00000000,5709.99000000,7913.92583700,1508111999999,42038755.95644524,61638,4280.12726900,22483871.99105491
9,1508112000000,5710.00000000,6171.00000000,5037.95000000,5950.02000000,12157.76944700,1508716799999,69446644.86619962,75969,5501.91240000,31411073.98003196
10,1508716800000,5975.00000000,6189.88000000,5286.98000000,6169.98000000,13133.99457000,1509321599999,75229774.73890872,74778,5845.14325200,33499318.44481458
11,1509321600000,6133.01000000,7590.25000000,6030.00000000,7345.01000000,11663.20964800,1509926399999,79517426.53915779,98387,5037.95081100,34445720.64501364
12,1509926400000,7345.10000000,7770.02000000,5325.01000000,5811.03000000,18916.31990000,1510531199999,126612916.75463176,132654,8296.83946000,55517892.65634026
13,1510531200000,5839.94000000,8123.15000000,5699.99000000,8038.00000000,19791.10101100,1511135999999,146293856.48316984,107207,9966.29773500,73714925.58366316
14,1511136000000,8057.11000000,9350.00000000,7801.00000000,9128.02000000,28921.85979200,1511740799999,240238717.93883664,129930,14522.91338900,120677884.10182005
15,1511740800000,9128.00000000,11825.00000000,8520.00000000,11165.41000000,48427.94965000,1512345599999,493261876.52474081,232180,27122.18773100,276199673.05560422
16,1512345600000,11165.41000000,17204.99000000,10802.00000000,14899.98000000,72469.97762700,1512950399999,1022228203.79649083,393420,42089.10953200,596373967.67022420
17,1512950400000,14946.26000000,19798.68000000,14666.56000000,18860.02000000,67851.48621500,1513555199999,1143594375.37658067,539238,33646.70546800,566603311.05147657
18,1513555200000,18860.04000000,19300.00000000,10961.00000000,13500.00000000,135385.44032200,1514159999999,1998479799.11456170,1007841,67305.69647400,989270027.78444365
19,1514160000000,13500.00000000,16498.05000000,11750.00000000,13716.36000000,116522.75432100,1514764799999,1636613418.33164790,1040980,62664.76657500,882011540.53478545
20,1514764800000,13715.65000000,17176.24000000,12750.00000000,16150.03000000,120239.39935900,1515369599999,1828148890.85411918,1087900,68117.13905900,1037992795.24942929
21,1515369600000,16218.85000000,16322.30000000,11400.00000000,13474.99000000,137537.90456500,1515974399999,1919927016.02062138,1176645,67529.52572500,944460208.02273536
22,1515974400000,13477.98000000,14249.99000000,9035.00000000,11530.00000000,303127.50213700,1516579199999,3434833014.70379800,2359135,148847.01839200,1689262267.44518783
23,1516579200000,11530.00000000,12244.00000000,9900.24000000,11879.95000000,198030.05111700,1517183999999,2184045152.49622084,1961464,95219.66417600,1049772766.29317178
24,1517184000000,11879.95000000,11975.02000000,7930.00000000,8184.81000000,202016.40775900,1517788799999,1896352538.67067303,2082917,92718.81910100,870670207.32739153
25,1517788800000,8179.99000000,9065.78000000,6000.01000000,8063.88000000,340794.29213100,1518393599999,2608962030.92850646,3182111,168442.58026900,1292031857.36801427
26,1518393600000,8063.82000000,11274.00000000,8053.00000000,10383.43000000,311863.06813700,1518998399999,3026660454.85449099,3359228,152843.46078700,1483899407.00701508
27,1518998400000,10375.01000000,11786.01000000,9274.80000000,9590.00000000,350623.13291100,1519603199999,3657589238.53289945,2886657,170833.28442700,1784040709.72463260
28,1519603200000,9590.00000000,11565.00000000,9350.00000000,11515.00000000,183970.99761400,1520207999999,1967477246.42707215,1604626,90364.52128500,967157347.68709032
29,1520208000000,11515.00000000,11710.00000000,8329.00000000,9533.57000000,282035.22538200,1520812799999,2719942892.64730906,2232004,135387.47704700,1305861453.01058947
30,1520812800000,9533.57000000,9888.88000000,7322.00000000,8189.99000000,315835.15160600,1521417599999,2657745291.10901253,2450216,152466.84692700,1282773546.00909870
31,1521417600000,8189.00000000,9177.01000000,8088.40000000,8470.15000000,285211.53951100,1522022399999,2464528929.91490584,1993351,140515.57225800,1214424116.23422213
32,1522022400000,8470.14000000,8514.89000000,6430.00000000,6813.01000000,308729.49203100,1522627199999,2276980709.59205236,2021451,150619.59256200,1110640017.95736709
33,1522627200000,6813.01000000,7520.00000000,6500.00000000,7018.00000000,232320.07049900,1523231999999,1616723766.06607239,1464142,116325.45462500,809573460.57236987
34,1523232000000,7011.04000000,8429.54000000,6611.00000000,8355.00000000,259877.02241400,1523836799999,1959208437.53564023,1648802,132620.41641700,999880218.14011922
35,1523836800000,8355.07000000,9035.00000000,7825.40000000,8787.02000000,233025.38619000,1524441599999,1952372499.38639334,1643201,119054.12687200,998226476.19908668
36,1524441600000,8785.70000000,9759.82000000,8651.62000000,9419.00000000,306668.07214000,1525046399999,2812613536.48155942,2118018,155630.17935000,1428135299.50438760
37,1525046400000,9417.04000000,10020.00000000,8800.49000000,9659.01000000,222274.38854000,1525651199999,2089890919.30010291,1677081,113653.80355000,1069078899.18062851
38,1525651200000,9661.02000000,9689.67000000,8153.00000000,8679.71000000,224151.29875100,1526255999999,1995981257.43474280,1724758,110160.48336000,981712737.91520858
39,1526256000000,8679.71000000,8879.99000000,7911.90000000,8526.98000000,182713.82601200,1526860799999,1528659945.07915334,1744095,92219.28136100,771701096.80685908
40,1526860800000,8526.97000000,8595.31000000,7231.11000000,7338.99000000,190894.60093900,1527465599999,1473706966.33428654,1586528,96911.18683200,747911310.86122199
41,1527465600000,7338.99000000,7786.69000000,7032.95000000,7714.26000000,211929.27076600,1528070399999,1580400448.72951901,1930065,117482.54749000,876505422.23824593
42,1528070400000,7714.26000000,7765.00000000,6622.81000000,6764.99000000,211352.73747800,1528675199999,1574558979.83733276,2117420,114201.83441300,852642290.78887995
43,1528675200000,6765.00000000,6922.00000000,6118.68000000,6449.61000000,234080.84117100,1529279999999,1532387822.70808579,1406168,127373.60965300,833996575.31971409
44,1529280000000,6444.06000000,6841.74000000,5750.00000000,6136.97000000,234147.62101500,1529884799999,1493387501.45827074,1413795,125738.64224100,802333822.68102873
45,1529884800000,6137.95000000,6528.99000000,5780.00000000,6356.81000000,207746.55900600,1530489599999,1282960927.49240566,1214054,112957.36097300,697781325.59832176
46,1530489600000,6360.82000000,6818.16000000,6271.62000000,6712.10000000,211526.01905800,1531094399999,1393368254.07600692,1322891,113263.78929400,746176284.21750867
47,1531094400000,6712.10000000,6802.06000000,6070.00000000,6353.01000000,192452.84988000,1531699199999,1225870847.47314433,1007888,101995.65757900,649868285.83531907
48,1531699200000,6354.15000000,7700.00000000,6330.40000000,7394.79000000,294313.22260400,1532303999999,2128249956.99732357,1602460,159598.81559100,1153467423.23265938
49,1532304000000,7394.78000000,8491.77000000,7375.00000000,8211.00000000,288666.04714100,1532908799999,2332298260.58447165,1575619,154924.10088900,1251512994.19756684
50,1532908800000,8210.99000000,8273.00000000,6882.29000000,7024.19000000,282090.10358400,1533513599999,2132225331.26565758,1404398,147829.46203600,1117308216.03661430
51,1533513600000,7024.19000000,7160.00000000,5971.00000000,6308.33000000,334426.55074300,1534118399999,2169762287.52026111,1694989,178067.43349700,1155504235.78979734
52,1534118400000,6308.56000000,6620.00000000,5880.00000000,6477.53000000,378189.29648700,1534723199999,2401304850.57815240,1813570,205461.82925100,1305711344.95193685
53,1534723200000,6477.53000000,6882.54000000,6220.00000000,6700.00000000,286906.53931100,1535327999999,1870078552.63444254,1365251,153261.48198700,999056900.50774675
54,1535328000000,6700.00000000,7345.45000000,6646.50000000,7302.01000000,294674.91300500,1535932799999,2064905776.21966505,1542804,162766.58532300,1140746641.75371279
55,1535932800000,7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400,1536537599999,2060238359.34515521,1498673,162645.08716700,1094083907.53466874
56,1536537600000,6252.26000000,6584.99000000,6169.68000000,6505.00000000,227428.18285400,1537142399999,1455546755.85411984,1205506,124604.74974900,797441407.47960120
57,1537142400000,6500.08000000,6839.03000000,6123.00000000,6708.00000000,244256.49012100,1537747199999,1590443498.59327462,1324448,133037.20102500,867030374.85256633
58,1537747200000,6706.81000000,6814.80000000,6325.02000000,6626.57000000,242598.87247100,1538351999999,1592066012.40530938,1308413,132133.99444900,867418937.71812110
59,1538352000000,6626.57000000,6697.00000000,6430.00000000,6615.26000000,141836.47648300,1538956799999,931813926.77497266,756048,75129.02122900,493650263.56068926
60,1538956800000,6615.26000000,6715.60000000,6205.00000000,6339.34000000,166310.81354400,1539561599999,1068868812.27913379,943296,83637.70495700,537339332.30623559
61,1539561600000,6339.34000000,7680.00000000,6300.00000000,6590.11000000,211592.62313900,1540166399999,1434684785.85105283,1219900,110449.44593800,748403217.79475398
62,1540166400000,6590.12000000,6639.00000000,6453.00000000,6489.93000000,75328.88538500,1540771199999,494030438.14773757,591416,37842.15417300,248174269.69772996
63,1540771200000,6489.93000000,6525.00000000,6245.02000000,6485.85000000,71945.40060700,1541375999999,459573574.67943707,751373,35995.80909900,229999405.96208155
64,1541376000000,6485.85000000,6615.15000000,6355.00000000,6449.81000000,76161.78188000,1541980799999,494186439.10114736,874399,37227.07098800,241607389.17125802
65,1541980800000,6450.71000000,6498.00000000,5403.42000000,5662.00000000,205081.18393800,1542585599999,1193362837.90360881,1444633,104591.34742800,607459146.82318838
66,1542585600000,5661.94000000,5664.00000000,3652.66000000,4085.78000000,496323.79998000,1543190399999,2227689691.73637045,2388695,252770.91949700,1133924485.17572715
67,1543190400000,4088.69000000,4450.38000000,3689.12000000,4161.01000000,479458.79915100,1543795199999,1958210804.89459729,2077032,244698.36916500,999023710.41790756
68,1543795200000,4160.55000000,4179.00000000,3222.00000000,3545.37000000,406435.81785400,1544399999999,1482749121.29389788,1782210,200855.63772000,731690242.31463073
69,1544400000000,3548.49000000,3610.00000000,3156.26000000,3228.67000000,249791.79078700,1545004799999,836152010.42528735,1117299,128558.20082500,430325194.84914051
70,1545004800000,3229.22000000,4139.99000000,3216.00000000,3929.71000000,489096.27646700,1545609599999,1847570818.36198613,2458531,251707.60083000,950479898.41006177
71,1545609600000,3929.71000000,4198.00000000,3535.00000000,3801.91000000,332161.25544200,1546214399999,1265644273.27097719,2002072,170607.63862300,650229120.26977389
72,1546214400000,3803.12000000,4027.71000000,3630.33000000,3987.60000000,214860.90624200,1546819199999,814657329.25612980,1399286,111418.73985500,422523453.01183789
73,1546819200000,3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800,1547423999999,927969289.15430455,1671905,124970.35950800,471682333.52194890
74,1547424000000,3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500,1548028799999,716452001.87770063,1441654,103959.69592000,373598006.95210055
75,1548028800000,3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100,1548633599999,549194588.04379181,1163997,81698.38696800,290345796.57221316
76,1548633600000,3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300,1549238399999,642262558.33850544,1288715,97908.23138200,337075608.11357584
77,1549238400000,3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800,1549843199999,696930950.57518930,1313535,105210.16581300,369766481.67223400
78,1549843200000,3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900,1550447999999,608476271.54980941,1174687,86820.01403600,314505971.76257565
79,1550448000000,3667.62000000,4198.00000000,3655.00000000,3743.56000000,301384.22226000,1551052799999,1179944577.93464593,2007272,158582.45893800,621066468.49693409
80,1551052800000,3743.56000000,3888.00000000,3677.17000000,3807.75000000,190343.24672600,1551657599999,726304516.11421283,1369483,100202.78390200,382423582.15041919
81,1551657600000,3807.32000000,3971.75000000,3670.69000000,3916.82000000,207833.42997000,1552262399999,799736773.67252840,1353003,109422.64807700,421085582.83566612
82,1552262400000,3915.99000000,4056.98000000,3810.43000000,3981.14000000,185620.34481300,1552867199999,725510328.96129966,1303041,97860.69707600,382600175.72534757
83,1552867200000,3981.85000000,4069.32000000,3880.01000000,3992.18000000,156283.26348300,1553471999999,624615988.91417612,1144351,82285.46168000,328906486.03261287
84,1553472000000,3991.35000000,4140.00000000,3888.71000000,4103.95000000,178114.87504900,1554076799999,715252731.25724998,1291861,95038.23263400,381686902.03996087
85,1554076800000,4102.44000000,5275.01000000,4067.00000000,5170.27000000,420989.96873800,1554681599999,2046260260.72830678,2752257,218356.59505700,1061192535.29097398
86,1554681600000,5170.27000000,5422.00000000,4861.22000000,5131.30000000,247866.40740500,1555286399999,1271184321.40452200,1730890,125805.46033400,645400980.73434666
87,1555286400000,5131.28000000,5333.42000000,4950.00000000,5256.14000000,168555.91174500,1555891199999,875025579.97905363,1265816,87318.99744800,453504194.80540038
88,1555891200000,5257.41000000,5600.00000000,5102.00000000,5307.52000000,247392.82390400,1556495999999,1329057592.82658380,1770258,122046.09888300,655730729.85086243
89,1556496000000,5309.81000000,5900.00000000,5178.80000000,5775.62000000,191971.58997500,1557100799999,1069857115.70259369,1509653,101647.46745400,566499085.99917452
90,1557100800000,5773.18000000,7521.78000000,5619.14000000,6967.31000000,313283.73422500,1557705599999,2043227205.83849326,2443585,161392.20798100,1052056585.01674406
91,1557705600000,6968.24000000,8366.00000000,6870.00000000,8148.48000000,461287.69413900,1558310399999,3556014747.63429744,4024823,239183.08829800,1843817300.27395488
92,1558310400000,8147.94000000,8740.00000000,7461.00000000,8614.43000000,341677.39881000,1558915199999,2706217167.17889253,3145385,178794.67382000,1416599106.08409965
93,1558915200000,8612.54000000,9074.26000000,8005.00000000,8725.98000000,292049.04381200,1559519999999,2508992950.94447563,2861807,151337.37524700,1300617022.72302598
94,1559520000000,8726.00000000,8800.95000000,7444.58000000,7628.13000000,293308.70969600,1560124799999,2321265141.03700873,2770905,149688.73849600,1184496681.30578112
